filename,class,class_id,original_path,category,subcategory
Flatfoot_Abnormal Flatfoot_0000.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-1_jpg.rf.0a93eeadf4f73193497caae03e35198f.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0001.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-1_jpg.rf.5097265ae745177808c407db1d6502fa.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0002.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-1_jpg.rf.764f7d3e03f3b8f36092c8064da22b65.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0003.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot-2_jpg.rf.f768257426b477753b29ac8040d5a1a8.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0004.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-4_jpg.rf.0476ebeb258465f4f22c99a7f0a35669.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0005.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-4_jpg.rf.058db3d5246ff736ddb13b2b1a899d21.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0006.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-4_jpg.rf.85e43e26c544a1eed47482c9d50694ca.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0007.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-test3_jpeg.rf.25c81b06673638877372cb49f338b44b.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0008.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-test3_jpeg.rf.2d1e7382722574ec6217963fa3092def.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0009.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot-test3_jpeg.rf.3a05022f109cf8cca2625337730d0e6d.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0010.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot-test4_png.rf.b024150369ba76f0345a621bcc9ccc6c.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0011.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot-test4_png.rf.b5edff93bd06a190204c3f731538ba95.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0012.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot-test4_png.rf.d4d235ac7a31576af0fbdad67219f40d.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0013.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot-test6_png.rf.a3f1b30f880d974f6a3bad2c127cd65a.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0014.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot-test6_png.rf.f46600c195a5d8392dcc5fbf9133be67.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0015.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot-test_jpeg.rf.1ad85a384ecefd82c89d6ed4c4057cb6.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0016.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot10_jpg.rf.d12abd937381e1652825ba1807b3451d.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0017.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\flatfoot11_png.rf.4123db35d08d01f63f726792aff4e332.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0018.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot13_jpg.rf.4148db8039e51d129a38c2eaa88db058.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0019.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot14_jpg.rf.cb566d841627a53a540d5a5fee993c50.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0020.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot15_jpg.rf.305c274f870f61416814e40b6d21861c.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0021.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot15_jpg.rf.6feff06377d0d1898bc1a80798ff0432.jpg,Flatfoot,Abnormal Flatfoot
Flatfoot_Abnormal Flatfoot_0022.jpg,flatfoot,1,Dataset\Flatfoot\Abnormal Flatfoot\Flatfoot15_jpg.rf.86871a08ead200dfdb3181892cfd5039.jpg,Flatfoot,Abnormal Flatfoot
